name,market_name,cb_link,short_description,dollars_raised_m,archive
Solugen,"""Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing""",https://www.crunchbase.com/organization/solugen,makes a variety of chemicals. Solugen fits in this category and at least two others,642,
Circulus,"""Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing""",https://www.crunchbase.com/organization/circulus-ef17,transforms olefin plastics into resins suitable for a range of applications,400,
Arieca,Rubber product manufacturing,https://www.crunchbase.com/organization/arieca,makes a thermally conductive rubber composite,8,
Rhino Health,Rubber product manufacturing,https://www.crunchbase.com/organization/rhino-health-3058,manufactures nitrile rubber gloves,7,
Techniplas Digital,Plastics Product Manufacturing,https://www.crunchbase.com/organization/techniplas-digital,makes plastic components for the automotive industry,57,
Novoloop,Plastics Product Manufacturing,https://www.crunchbase.com/organization/Novoloop,recycles plastics into products,26,
Merlin Labs,Air transportation,https://www.crunchbase.com/organization/merlin-labs,is building an autonomous infrastructure for the skies,133,
Aura Network Systems,Air transportation,https://www.crunchbase.com/organization/aura-network-systems,is creating a network to enable deployment of autonomous aircraft,108,
Convoy,Truck transportation,https://www.crunchbase.com/organization/convoy-3,operates a digital freight network,1091,
Project44,Truck transportation,https://www.crunchbase.com/organization/flock-freight,makes software to monitor shipments,763,
Aurora,Transit and ground passenger transportation,https://www.crunchbase.com/organization/aurora-6292,makes autonomous vehicles,3710,
Lime,Transit and ground passenger transportation,https://www.crunchbase.com/organization/limebike,operates a network of bikes and scooters,1458,
OpenAI,Software publishing,https://www.crunchbase.com/organization/openai,develops LLMs and LLM-based tools,11300,
Anthropic,Software publishing,https://www.crunchbase.com/organization/anthropic,also develops LLMs and LLM-based tools,7554,
Checkr,Legal services,https://www.crunchbase.com/organization/checkr,automates professional background checks,679,
Ironclad,Legal services,https://www.crunchbase.com/organization/ironclad,makes software to manage contracts,334,
Andela,Computer systems design and related services,https://www.crunchbase.com/organization/andela,operates a global talent network of software developers,381,
Narwhal Technologies,Computer systems design and related services,https://www.crunchbase.com/organization/narwhal-technologies,helps development team deploy Angular apps,48,
AMP Robotics,Waste management and remediation services,https://www.crunchbase.com/organization/amp-robotics,recycles mixed materials using robots,175,
RoadRunner Recycling,Waste management and remediation services,https://www.crunchbase.com/organization/roadrunner-recycling,manages commercial waste hauling,174,
Guild,Educational services,https://www.crunchbase.com/organization/guild-education,"offers classes, programs, and degrees for working adults",643,
Outschool,Educational services,https://www.crunchbase.com/organization/outschool,manages a marketplace of live classes for kids,240,
Carbon Health,Ambulatory health care services,https://www.crunchbase.com/organization/carbon-health,offers telehealth services,622,
Paradigm,Ambulatory health care services,https://www.crunchbase.com/organization/paradigm-1f96,makes software to broaden access to clinical trials,203,
Resilience,Global pharma manufacturing,https://www.crunchbase.com/organization/resilience-e701,provides biopharma manufacturing and development services,2500,
Cellares,Global pharma manufacturing,https://www.crunchbase.com/organization/cellares,develops technology to automate cell therapy manufacturing,355,
Cerevel Therapeutics,Global pharma R+D,https://www.crunchbase.com/organization/cerevel-therapeutics,develops drugs to treat neurological disorders,1895,
Insitro,Global pharma R+D,https://www.crunchbase.com/organization/insitro,discovers drugs using high-throughput bio and novel ML,643,
Altos Labs,Global pharma revenue,https://www.crunchbase.com/organization/altos-labs,develops longevity drugs using cellular reprogramming,3000,
Roivant Sciences,Global pharma revenue,https://www.crunchbase.com/organization/roivant-sciences,creates companies that develop clinical-stage drugs,2473,
Center for Breakthrough Medicines,Global CROs,https://www.crunchbase.com/organization/center-for-breakthrough-medicines,"offers dna, viral vector, and cell therapy manufacturing",350,
Zhenge Biotech,Global CROs,https://www.crunchbase.com/organization/zhenge-biotech,offers drug analytic and manufacturing services in China,235,
Cerevel Therapeutics,Small molecule therapeutics,https://www.crunchbase.com/organization/cerevel-therapeutics,develops drugs to treat neurological disorders,1895,
Idorsia,Small molecule therapeutics,https://www.crunchbase.com/organization/idorsia,"develops drugs for CNS, cardiovascular, and immunological indications",1524,
EQRx,Antibodies therapeutics,https://www.crunchbase.com/organization/eqrx,"developed multiple drugs, including the antibody sugemalimab",1900,
I-Mab Biopharma,Antibodies therapeutics,https://www.crunchbase.com/organization/i-mab-biopharma,develops antibody drugs for oncology and autoimmune disorders,815,
Abogen Biosciences,mRNA therapeutics,https://www.crunchbase.com/organization/abogen-biosciences,develops mRNA drugs for cancer and infection disease,1414,
ReCode Therapeutics,mRNA therapeutics,https://www.crunchbase.com/organization/recode-therapeutics,uses targeted LNPs to deliver drugs to specific organs,521,
Rocket Pharmaceuticals,Cell and Gene Therapies,https://www.crunchbase.com/organization/rocket-pharmaceuticals,develops gene therapies for childhood disorders,716,
Sana Biotechnology,Cell and Gene Therapies,https://www.crunchbase.com/organization/sana-biotechnology,"develops highly targetable drugs, starting with cell therapies",700,
Grail,Diagnostics,https://www.crunchbase.com/organization/grail,develops multi-cancer diagnostics,2000,
BillionToOne,Diagnostics,https://www.crunchbase.com/organization/billiontoone,develops diagnostics for pregnant moms and cancer patients,295,
EquipmentShare,SaaS,https://www.crunchbase.com/organization/equipmentshare,makes software to help construction companies manage equipment,2941,
Samsara,SaaS,https://www.crunchbase.com/organization/samsara-2,makes software and hardware to manage physical operations,930,
Attentive,Marketing software,https://www.crunchbase.com/organization/attentive,makes software for personalized mobile messaging,863,
Bakkt,Marketing software,https://www.crunchbase.com/organization/bakkt,uses crypto to help companies with marketing and loyalty programs,808,
